,Distance (km),Distance (km).1,Distance (km).2,Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault.1,Active Wells,P&A Wells,Caisson Platform.1,Major Platform,Well Protector Platform.1,Pipeline.1,Salt dome.1,EOR Wells,Shipping Route (w/10 mi Buffer).1,Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S3,Viability_score1_quartile,Viability_score3_quartile
48,83.83503172,83.99657018,112.2098924,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,0,0,4,10,82.71,15844.24,5614,1124.98,112.498,0.0,0.0,0,30756381.53,72882,7288.2,20.5006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.962,100.0,48.7406,75.1692,48.7406,75.1692,0.0,100.0,99.1597,100.0,52.4232,24.6715,68.59436418,44.68873265,100,75
49,82.95503198,88.19689412,102.5886856,0,0,0,1,1,0,1,1,1,0,2,0,0,0,1,0,0,4,11,87.99,16905.04,6312,1227.18,111.5618182,0.0,0.0,0,32945106.58,81517,7410.636364,21.8289,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.043,100.0,47.2269,75.4576,47.2269,75.4576,0.0,100.0,99.1597,0.0,55.9803,26.5034,64.09732699,40.94351936,75,50
50,88.27941006,91.05741872,104.6945229,0,0,0,1,0,0,1,1,0,0,4,0,0,0,5,0,0,4,10,82.71,15844.24,5614,1124.98,112.498,0.0,0.0,0,30756381.53,72882,7288.2,20.5006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41.9007,100.0,48.7406,75.1692,48.7406,75.1692,0.0,100.0,98.3193,100.0,52.4232,24.6715,68.27143498,44.32378665,100,75
51,69.55550643,53.77097875,128.2074934,0,0,0,1,0,0,0,1,0,4,4,0,0,0,1,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51.4782,0.0,64.7705,64.8147,64.7705,64.8147,0.0,99.1011,98.3193,100.0,9.1271,12.3958,54.78707558,38.61293254,50,50
52,76.0682801,60.09126802,135.2696485,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3549,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.10835078,15.01824135,25,25
53,72.92241355,58.08786592,127.2242712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0777,0.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,100.0,12.664,13.4876,36.29910306,19.245973,25,25
54,79.15865816,63.97971839,134.3338801,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9737,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.07023426,14.98012483,25,25
55,82.68614036,66.58032772,142.3393974,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2346,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.39632185,15.30621242,25,25
56,89.38575097,73.19328215,149.4156621,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1169,0.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,27.18845555,15.08387585,25,25
57,85.53775617,70.10622987,141.4461554,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8707,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.35993755,15.26982812,25,25
58,92.03000815,76.41097582,148.5607139,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7687,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.64973384,15.55962441,25,25
59,76.80877777,63.10732191,126.7292409,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8761,0.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,100.0,12.664,13.4876,36.27893906,19.225809,25,25
60,82.75266223,68.56602212,133.8608773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.781,0.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,100.0,12.664,13.4876,36.56943098,19.51630092,25,25
61,79.7533927,68.67549527,126.7281386,0,0,0,1,0,0,0,1,0,5,3,0,0,0,3,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.8757,0.0,62.2393,67.5619,62.2393,67.5619,0.0,98.8764,98.7395,100.0,12.664,13.4876,56.25368408,39.13752881,50,50
62,86.46803145,73.72007411,133.8555601,0,0,0,1,0,0,0,1,0,2,2,0,0,0,2,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,100.0,0.0,0.0,0.0,53.7789,0.0,62.2393,67.5619,62.2393,67.5619,0.0,99.5506,99.1597,100.0,12.664,13.4876,56.55240768,39.45726081,50,50
63,88.87416765,74.31202589,140.9927418,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.686,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.34146872,15.25135929,25,25
64,95.13901589,80.2836673,148.1248012,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5911,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.63197788,15.54186845,25,25
65,92.6430115,79.08934804,140.9834137,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6822,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,99.5798,0.0,9.1271,12.3958,30.3326854,15.22156757,25,25
66,98.66885146,84.72160492,144.882369,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2704,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,33.49990435,15.40979492,25,25
67,96.15002395,79.89937265,156.4975558,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0016,0.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,27.47692131,15.37234161,25,25
68,102.9662153,86.67698267,163.5843445,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,18.94,1474.74,1263,583.48,194.4933333,0.0,0.0,0,11233399.48,12343,4114.333333,4.4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8882,0.0,87.9791,49.9143,87.9791,49.9143,0.0,100.0,100.0,0.0,4.2383,8.3313,25.44855457,15.0971832,25,25
69,98.61306723,82.85327611,155.6772397,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6675,0.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,27.44350749,15.33892779,25,25
70,105.269898,89.40339796,162.7954717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.94,1474.74,1263,583.48,194.4933333,0.0,0.0,0,11233399.48,12343,4114.333333,4.4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5669,0.0,87.9791,49.9143,87.9791,49.9143,0.0,100.0,100.0,100.0,4.2383,8.3313,30.41642153,19.06505016,25,25
71,109.8246604,93.51056058,156.6867194,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14.39,808.88,686,393.08,196.54,0.0,0.0,0,7856433.98,6539,3269.5,3.3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0786,0.0,98.4237,49.2839,98.4237,49.2839,0.0,100.0,100.0,0.0,2.0055,5.5049,24.21959504,14.20911566,25,25
72,116.7179101,100.3886758,149.5577489,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.22,210.8,351,196.33,196.33,0.0,0.0,0,1726869.1,3142,3142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1748,0.0,100.0,49.3486,100.0,49.3486,0.0,100.0,99.5798,100.0,0.0,0.3746,27.8698444,17.03302596,25,25
73,111.9873473,96.03928104,156.3864957,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0.0,0.0,0,7856433.98,6539,3269.5,3.3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9564,0.0,98.4237,49.2839,98.4237,49.2839,0.0,100.0,100.0,0.0,2.0055,5.5049,24.20736607,14.19688669,25,25
