,NDVI_15m,NDVI_45m
0,0.32648216405446917,0.34205204999804495
1,0.12816665462580049,0.12706097332458427
2,0.17470015888595725,0.17298545309964472
3,0.6994477809117775,0.6865533429800907
4,0.08216937935463461,0.09117854239066282
5,0.21540492486212465,0.2169369355915463
6,0.2564276299960059,0.23665318904755567
7,0.3210979849560587,0.3197590992393091
8,0.2311903287944955,0.23371559722494253
9,0.13639121691160516,0.1447385942376305
10,0.5958238916295739,0.6125603564332454
11,0.41628091622723173,0.47016481209586236
12,0.4716911761215787,0.525933800072176
13,,
14,0.7476889754566782,0.7716248581679175
15,0.38159949639851565,0.3971711864750264
16,0.3891905042711957,0.3149014747437249
17,0.8879416508135205,0.8904508576052059
18,0.28310078139719397,0.2855303686636198
19,0.9103620667006902,0.9109111946943497
20,0.6628710726600198,0.6186279125268912
21,0.30803712230748487,0.32198834183952774
22,0.8358407042419185,0.8431959654746208
23,0.4713496076863934,0.49537929354255983
24,0.28561803616179765,0.335849358632088
25,0.5955629446255856,0.5532973390726846
26,0.04548647348465787,0.05422660715709296
27,0.12766138929715806,0.1410496362940916
28,0.37441270654976533,0.33081711317454354
29,0.25693283039733594,0.22893615856443422
30,,
31,0.4165627343746524,0.450974590803452
32,0.11018786117064179,0.21802577182231608
33,0.5347502946957566,0.5634446366574218
34,0.43239101278126835,0.4619427734310574
35,,
36,0.8602005578334362,0.8665378399529792
37,0.5490690933828284,0.5330982180170033
38,0.8681463655668249,0.8636694699433789
39,0.5759589023771032,0.6024175722041242
40,0.07081348314769638,0.06264438992804049
41,0.10497237569060773,0.11013418315702557
42,0.08135840217701722,0.08252772774337494
43,,0.06251870150633367
44,0.9742405510064407,0.9681703943305677
45,0.5868278775919012,0.663407626358003
46,,
47,0.9242961868657784,0.89865232810035
48,,
49,0.902229481635702,0.898320243339707
50,0.8300799706660303,0.8326497355474757
51,0.8527510129495844,0.8644505365235117
52,0.8922986916149385,0.8940799964340572
53,0.30306774745470316,0.30352538609038593
54,0.4257449644505896,0.4220387325463755
55,0.486734912790249,0.5112463434721536
56,0.13780566006706718,0.13218573292101304
57,,
58,,
59,0.01922899478351464,0.02589108364969647
60,0.09047989806933225,0.0837471892469311
